Timestamp,Filename,Number of Slides,Number of Products
2025-06-12 09:59:08,PP-YR25-0427.pptx,3,12
2025-06-12 09:59:47,PP-YR25-0428.pptx,3,0
2025-06-12 10:15:20,PP-YR25-0429.pptx,1,0
2025-06-12 10:15:36,PP-YR25-0430.pptx,3,0
2025-06-12 10:15:59,PP-YR25-0431.pptx,3,0
2025-06-12 10:51:18,PP-YR25-0432.pptx,3,4
2025-06-12 11:01:42,PP-YR25-0433.pptx,1,0
2025-06-12 11:18:11,PP-YR25-0434.pptx,2,0
2025-06-12 11:30:29,PP-YR25-0435.pptx,1,4
2025-06-12 12:06:30,PP-YR25-0436.pptx,4,5
2025-06-12 12:11:52,PP-YR25-0437.pptx,5,13
2025-06-12 12:33:13,PP-YR25-0438.pptx,7,35
2025-06-12 13:55:47,PP-YR25-0439.pptx,7,35
2025-06-12 14:33:12,PP-YR25-0440.pptx,5,28
2025-06-12 14:43:03,PP-YR25-0441.pptx,3,18
2025-06-12 16:06:36,PP-YR25-0442.pptx,1,0
2025-06-12 16:20:43,PP-YR25-0443.pptx,3,6
2025-06-13 15:39:39,PP-YR25-0444.pptx,11,40
2025-06-13 17:34:55,PP-YR25-0445.pptx,2,0
2025-06-13 17:36:20,PP-YR25-0446.pptx,4,0
2025-06-16 12:19:52,PP-YR25-0447.pptx,3,4
2025-06-16 12:27:10,PP-YR25-9876.pptx,1,0
2025-06-16 12:27:56,PP-YR25-49877.pptx,1,0
2025-06-17 11:21:54,PP-YR25-0300.pptx,1,0
2025-06-17 12:09:58,PP-YR25-0301.pptx,1,1
2025-06-17 15:01:57,PP-YR25-0302.pptx,2,4
2025-06-17 15:02:57,PP-YR25-0303.pptx,2,3
2025-06-19 09:14:34,PP-YR25-0304.pptx,1,1
2025-06-19 09:14:36,PP-YR25-0305.pptx,1,1
2025-06-19 09:22:32,PP-YR25-0306.pptx,1,2
2025-06-19 14:54:20,PP-YR25-0300.pptx,1,1
2025-06-23 09:50:43,PP-YR25-0301.pptx,1,2
2025-06-23 10:02:26,PP-YR25-0302.pptx,2,1
2025-06-23 10:11:04,PP-YR25-0303.pptx,1,1
2025-06-23 10:11:42,PP-YR25-0304.pptx,1,1
2025-06-23 10:29:15,PP-YR25-0305.pptx,1,4
2025-06-23 10:30:34,PP-YR25-0306.pptx,1,4
2025-06-23 10:31:21,PP-YR25-0307.pptx,1,4
2025-06-24 09:43:34,PP-YR25-0308.pptx,1,1
2025-06-24 12:13:46,PP-YR25-0309.pptx,2,4
2025-06-25 13:16:30,PP-YR25-0310.pptx,1,0
2025-06-26 11:45:48,PP-YR25-0311.pptx,1,2
2025-07-01 17:47:47,PP-YR25-0312.pptx,1,0
2025-07-02 10:15:28,PP-YR25-0313.pptx,3,19
2025-07-02 10:25:28,PP-YR25-0314.pptx,1,7
2025-07-02 10:47:03,PP-YR25-0315.pptx,1,7
2025-07-02 10:50:02,PP-YR25-0316.pptx,1,7
